Ano,UF,Capital,RM_RIDE,V2007,VD4016,VD4017,V5002A,V5002A2,V2010,VD3002,VD4002,V1032,V2009
2017,41,NA,NA,2,NA,NA,2,NA,5,3,NA,599.54683871,77
2017,21,NA,21,1,NA,NA,2,NA,1,0,NA,59.3102969,19
2017,17,NA,NA,1,NA,NA,2,NA,4,0,NA,211.15920539,73
2017,52,NA,NA,1,3000,4874,2,NA,4,8,1,136.05823976,31
2017,29,NA,NA,1,NA,NA,2,NA,4,0,NA,1773.1249633,84
2017,21,NA,NA,2,NA,NA,2,NA,4,4,NA,133.71668364,10
2017,33,NA,NA,2,NA,NA,1,85,2,9,2,598.05793652,21
2017,32,NA,NA,1,937,937,2,NA,2,11,1,269.88387236,19
2017,25,25,25,1,12000,12000,2,NA,4,15,1,293.65113439,60
2017,33,NA,NA,2,1400,1400,2,NA,1,15,1,869.54092101,42
2017,32,NA,32,1,2500,2500,2,NA,1,15,1,243.01457878,45
2017,17,NA,NA,1,NA,NA,2,NA,2,0,NA,287.39799995,6
2017,52,NA,NA,1,NA,NA,2,NA,4,0,NA,223.8919749,80
2017,21,NA,NA,2,NA,NA,2,NA,2,3,NA,261.56479981,10
2017,50,NA,NA,1,NA,NA,2,NA,4,1,NA,385.04332504,54
2017,31,NA,31,2,4000,4900,2,NA,1,15,1,824.83623477,48
2017,21,NA,NA,1,NA,NA,2,NA,4,1,NA,126.79918546,8
2017,31,NA,NA,2,240,240,2,NA,4,9,1,67.9407659,16
2017,43,43,43,2,NA,NA,2,NA,1,15,NA,295.37323167,58
2017,13,NA,NA,1,NA,NA,1,120,4,9,NA,246.39149709,15
2017,50,50,NA,1,1200,1200,2,NA,4,7,1,356.63362915,21
2017,12,12,NA,2,4000,4000,2,NA,4,15,1,125.54009801,40
2017,17,NA,NA,1,1200,1200,2,NA,1,9,1,417.63299623,21
2017,52,NA,NA,1,9000,16000,2,NA,4,13,1,512.33697894,42
